VOTACIO,ELECCIO,ANY_VOTACIO,DISTRICTE,CODI_BARRI,NOM_BARRI,PARTIT,NOM_PARTIT,VOTS
M,Eleccions Municipals                    ,2007,3,1,CAN PARELLADA                           ,CIU            ,CONVERGÈNCIA I UNIÓ                               ,186
M,Eleccions Municipals                    ,2007,3,1,CAN PARELLADA                           ,CUP - CAV      ,CANDIDATURA D UNITAT POPULAR - CAV                ,1
M,Eleccions Municipals                    ,2007,3,1,CAN PARELLADA                           ,ESQUERRA-AM    ,ESQUERRA REPUBLICANA DE CATALUNYA - ACORD MUN.    ,43
M,Eleccions Municipals                    ,2007,3,1,CAN PARELLADA                           ,ICV-EUIA-EPM   ,INICIATIVA PER CATALUNYA VERDS - EUiA-EPM         ,189
M,Eleccions Municipals                    ,2007,3,1,CAN PARELLADA                           ,PFIV           ,FAMÍLIA I VIDA                                    ,7
M,Eleccions Municipals                    ,2007,3,1,CAN PARELLADA                           ,PP             ,PARTIDO POPULAR / PARTIT POPULAR                  ,204
M,Eleccions Municipals                    ,2007,3,1,CAN PARELLADA                           ,PSC-PM         ,PARTIT DELS SOCIALISTES DE CATALUNYA - PROGÉS MUN.,826
M,Eleccions Municipals                    ,2007,3,1,CAN PARELLADA                           ,RC             ,PARTIT REPUBLICÀ CATALÀ                           ,2
M,Eleccions Municipals                    ,2007,3,2,LES FONTS                               ,C S            ,CIUTADANS - PARTIDO DE LA CIUDADANIA              ,34
M,Eleccions Municipals                    ,2007,3,2,LES FONTS                               ,CIU            ,CONVERGÈNCIA I UNIÓ                               ,126
M,Eleccions Municipals                    ,2007,3,2,LES FONTS                               ,CUP - CAV      ,CANDIDATURA D UNITAT POPULAR - CAV                ,7
M,Eleccions Municipals                    ,2007,3,2,LES FONTS                               ,ESQUERRA-AM    ,ESQUERRA REPUBLICANA DE CATALUNYA - ACORD MUN.    ,56
M,Eleccions Municipals                    ,2007,3,2,LES FONTS                               ,ICV-EUIA-EPM   ,INICIATIVA PER CATALUNYA VERDS - EUiA-EPM         ,87
M,Eleccions Municipals                    ,2007,3,2,LES FONTS                               ,PFIV           ,FAMÍLIA I VIDA                                    ,1
M,Eleccions Municipals                    ,2007,3,2,LES FONTS                               ,PP             ,PARTIDO POPULAR / PARTIT POPULAR                  ,78
M,Eleccions Municipals                    ,2007,3,2,LES FONTS                               ,PSC-PM         ,PARTIT DELS SOCIALISTES DE CATALUNYA - PROGÉS MUN.,261
M,Eleccions Municipals                    ,2007,3,2,LES FONTS                               ,RC             ,PARTIT REPUBLICÀ CATALÀ                           ,5
M,Eleccions Municipals                    ,2007,3,3,CAN JOFRESA                             ,C S            ,CIUTADANS - PARTIDO DE LA CIUDADANIA              ,24
M,Eleccions Municipals                    ,2007,3,3,CAN JOFRESA                             ,CIU            ,CONVERGÈNCIA I UNIÓ                               ,45
M,Eleccions Municipals                    ,2007,3,3,CAN JOFRESA                             ,CUP - CAV      ,CANDIDATURA D UNITAT POPULAR - CAV                ,2
M,Eleccions Municipals                    ,2007,3,3,CAN JOFRESA                             ,ESQUERRA-AM    ,ESQUERRA REPUBLICANA DE CATALUNYA - ACORD MUN.    ,21
M,Eleccions Municipals                    ,2007,3,3,CAN JOFRESA                             ,ICV-EUIA-EPM   ,INICIATIVA PER CATALUNYA VERDS - EUiA-EPM         ,60
M,Eleccions Municipals                    ,2007,3,3,CAN JOFRESA                             ,PFIV           ,FAMÍLIA I VIDA                                    ,0
M,Eleccions Municipals                    ,2007,3,3,CAN JOFRESA                             ,PP             ,PARTIDO POPULAR / PARTIT POPULAR                  ,73
M,Eleccions Municipals                    ,2007,3,3,CAN JOFRESA                             ,PSC-PM         ,PARTIT DELS SOCIALISTES DE CATALUNYA - PROGÉS MUN.,494
M,Eleccions Municipals                    ,2007,3,3,CAN JOFRESA                             ,RC             ,PARTIT REPUBLICÀ CATALÀ                           ,2
M,Eleccions Municipals                    ,2007,3,4,GUADALHORCE                             ,C S            ,CIUTADANS - PARTIDO DE LA CIUDADANIA              ,17
M,Eleccions Municipals                    ,2007,3,4,GUADALHORCE                             ,CIU            ,CONVERGÈNCIA I UNIÓ                               ,35
M,Eleccions Municipals                    ,2007,3,4,GUADALHORCE                             ,CUP - CAV      ,CANDIDATURA D UNITAT POPULAR - CAV                ,1
M,Eleccions Municipals                    ,2007,3,4,GUADALHORCE                             ,ESQUERRA-AM    ,ESQUERRA REPUBLICANA DE CATALUNYA - ACORD MUN.    ,8
M,Eleccions Municipals                    ,2007,3,4,GUADALHORCE                             ,ICV-EUIA-EPM   ,INICIATIVA PER CATALUNYA VERDS - EUiA-EPM         ,40
